is_potentially_hazardous_asteroid,estimated_diameter.meters.estimated_diameter_min,estimated_diameter.meters.estimated_diameter_max,close_approach_date,epoch_date_close_approach,orbiting_body,relative_velocity.kilometers_per_second,relative_velocity.kilometers_per_hour,orbit_class_description,id,name,relative_velocity.kilometers_per_minute
0,22.108281035900003,49.435619261999996,1995-01-10 00:00:00,1995-01-10 18:20:00,Earth,14.7612903218,53140.6451584192,An asteroid orbit contained entirely within the orbit of the Eart,3429684,(2008 TZ),885.6774193069866
1,127.2198785394,284.4722965033,1995-01-10 00:00:00,1995-01-10 01:49:00,Earth,21.9477292873,79011.8254344272,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3556126,(2011 BM45),1316.8637572404534
0,88.0146520901,196.80674508939998,1995-01-10 00:00:00,1995-01-10 17:49:00,Earth,24.2888578457,87439.8882443566,An asteroid orbit contained entirely within the orbit of the Eart,2526798,526798 (2007 AA9),1457.3314707392767
1,265.8,594.3468684194,1995-01-11 00:00:00,1995-01-11 21:36:00,Earth,19.1764208552,69035.1150788215,An asteroid orbit contained entirely within the orbit of the Eart,2452376,452376 (2002 AC5),1150.5852513136917
0,92.1626548503,206.08196123209999,1995-01-11 00:00:00,1995-01-11 22:51:00,Earth,24.955861304899997,89841.1006977167,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3444551,(2009 BC11),1497.3516782952784
0,7.6657557352999985,17.1411509231,1995-01-11 00:00:00,1995-01-11 02:22:00,Earth,10.969252018199999,39489.307265563904,Near Earth asteroid orbits similar to that of 2062 Aten,3520662,(2010 JR34),658.1551210927317
0,44.1118199997,98.6370281305,1995-01-11 00:00:00,1995-01-11 17:29:00,Earth,22.4420465229,80791.3674822838,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3703538,(2015 AA44),1346.5227913713966
0,11.6025908209,25.9441817907,1995-01-11 00:00:00,1995-01-11 07:40:00,Earth,27.9092028908,100473.1304067126,Near Earth asteroid orbits similar to that of 1221 Amor,3740931,(2016 BA15),1674.55217344521
0,461.90746028160004,1032.8564805039,1995-01-11 00:00:00,1995-01-11 20:09:00,Earth,25.5080689974,91829.04839060221,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3643994,(2013 LV28),1530.4841398433703
1,305.1792325939,682.4015094011,1995-01-11 00:00:00,1995-01-11 10:29:00,Earth,12.226840966800001,44016.627480483214,An asteroid orbit contained entirely within the orbit of the Eart,2250680,250680 (2005 QC5),733.6104580080536
1,127.2198785394,284.4722965033,1995-01-11 00:00:00,1995-01-11 04:16:00,Earth,7.7685401427,27966.7445137333,An asteroid orbit contained entirely within the orbit of the Eart,3170204,(2003 YS17),466.1124085622217
